DateTime,Vehicles
01 00:00:00,1471
01 01:00:00,1347
01 02:00:00,1018
01 03:00:00,703
01 04:00:00,921
01 05:00:00,605
01 06:00:00,909
01 07:00:00,813
01 08:00:00,1095
01 09:00:00,1174
01 10:00:00,1512
01 11:00:00,1746
01 12:00:00,1617
01 13:00:00,1509
01 14:00:00,1584
01 15:00:00,1201
01 16:00:00,1215
01 17:00:00,1571
01 18:00:00,1697
01 19:00:00,1999
01 20:00:00,1645
01 21:00:00,1947
01 22:00:00,1998
01 23:00:00,1516
02 00:00:00,1419
02 01:00:00,1219
02 02:00:00,1369
02 03:00:00,1187
02 04:00:00,1163
02 05:00:00,1104
02 06:00:00,1298
02 07:00:00,1414
02 08:00:00,1226
02 09:00:00,2187
02 10:00:00,3212
02 11:00:00,3106
02 12:00:00,3470
02 13:00:00,2569
02 14:00:00,3421
02 15:00:00,3008
02 16:00:00,2728
02 17:00:00,2741
02 18:00:00,2389
02 19:00:00,2553
02 20:00:00,2920
02 21:00:00,3211
02 22:00:00,2984
02 23:00:00,2689
03 00:00:00,2077
03 01:00:00,1780
03 02:00:00,1835
03 03:00:00,1258
03 04:00:00,1073
03 05:00:00,1097
03 06:00:00,1079
03 07:00:00,1362
03 08:00:00,1429
03 09:00:00,2903
03 10:00:00,3302
03 11:00:00,3186
03 12:00:00,3148
03 13:00:00,2879
03 14:00:00,2708
03 15:00:00,2601
03 16:00:00,2801
03 17:00:00,2601
03 18:00:00,2497
03 19:00:00,2939
03 20:00:00,2632
03 21:00:00,2367
03 22:00:00,2487
03 23:00:00,2030
04 00:00:00,1797
04 01:00:00,1843
04 02:00:00,1301
04 03:00:00,1314
04 04:00:00,1053
04 05:00:00,1245
04 06:00:00,1303
04 07:00:00,1115
04 08:00:00,1283
04 09:00:00,2207
04 10:00:00,2600
04 11:00:00,2657
04 12:00:00,3124
04 13:00:00,2423
04 14:00:00,2324
04 15:00:00,2594
04 16:00:00,2559
04 17:00:00,2401
04 18:00:00,2303
04 19:00:00,2500
04 20:00:00,2600
04 21:00:00,2401
04 22:00:00,2630
04 23:00:00,2404
05 00:00:00,1939
05 01:00:00,1985
05 02:00:00,1758
05 03:00:00,1347
05 04:00:00,1290
05 05:00:00,892
05 06:00:00,1215
05 07:00:00,1187
05 08:00:00,1540
05 09:00:00,1607
05 10:00:00,2331
05 11:00:00,2416
05 12:00:00,2524
05 13:00:00,2382
05 14:00:00,2593
05 15:00:00,2226
05 16:00:00,1982
05 17:00:00,2014
05 18:00:00,2222
05 19:00:00,2591
05 20:00:00,2204
05 21:00:00,2087
05 22:00:00,2133
05 23:00:00,2090
06 00:00:00,1602
06 01:00:00,1801
06 02:00:00,1929
06 03:00:00,1402
06 04:00:00,1177
06 05:00:00,1308
06 06:00:00,1406
06 07:00:00,1378
06 08:00:00,1300
06 09:00:00,1969
06 10:00:00,2175
06 11:00:00,2640
06 12:00:00,2618
06 13:00:00,2117
06 14:00:00,2313
06 15:00:00,2276
06 16:00:00,1876
06 17:00:00,1920
06 18:00:00,2026
06 19:00:00,2389
06 20:00:00,1807
06 21:00:00,1872
06 22:00:00,1623
06 23:00:00,1643
07 00:00:00,1600
07 01:00:00,1620
07 02:00:00,988
07 03:00:00,866
07 04:00:00,786
07 05:00:00,679
07 06:00:00,900
07 07:00:00,778
07 08:00:00,1162
07 09:00:00,1325
07 10:00:00,1673
07 11:00:00,1417
07 12:00:00,1398
07 13:00:00,1417
07 14:00:00,1372
07 15:00:00,1069
07 16:00:00,1476
07 17:00:00,1330
07 18:00:00,1226
07 19:00:00,1701
07 20:00:00,1765
07 21:00:00,1679
07 22:00:00,1632
07 23:00:00,1478
08 00:00:00,1221
08 01:00:00,1628
08 02:00:00,1139
08 03:00:00,814
08 04:00:00,1020
08 05:00:00,1041
08 06:00:00,1024
08 07:00:00,879
08 08:00:00,1128
08 09:00:00,1200
08 10:00:00,1809
08 11:00:00,1421
08 12:00:00,1723
08 13:00:00,1382
08 14:00:00,1410
08 15:00:00,1402
08 16:00:00,1196
08 17:00:00,1413
08 18:00:00,1788
08 19:00:00,1300
08 20:00:00,1628
08 21:00:00,1815
08 22:00:00,1400
08 23:00:00,1383
09 00:00:00,1323
09 01:00:00,1489
09 02:00:00,1094
09 03:00:00,1004
09 04:00:00,887
09 05:00:00,811
09 06:00:00,807
09 07:00:00,1031
09 08:00:00,1112
09 09:00:00,1734
09 10:00:00,1908
09 11:00:00,2251
09 12:00:00,2298
09 13:00:00,2301
09 14:00:00,2416
09 15:00:00,2422
09 16:00:00,1888
09 17:00:00,1858
09 18:00:00,2016
09 19:00:00,3112
09 20:00:00,2475
09 21:00:00,3461
09 22:00:00,2137
09 23:00:00,2386
10 00:00:00,1845
10 01:00:00,1900
10 02:00:00,1800
10 03:00:00,1675
10 04:00:00,1202
10 05:00:00,996
10 06:00:00,1420
10 07:00:00,1510
10 08:00:00,1408
10 09:00:00,3413
10 10:00:00,3973
10 11:00:00,3771
10 12:00:00,3631
10 13:00:00,2662
10 14:00:00,4786
10 15:00:00,4256
10 16:00:00,4144
10 17:00:00,3499
10 18:00:00,3978
10 19:00:00,4013
10 20:00:00,3998
10 21:00:00,3591
10 22:00:00,3726
10 23:00:00,3538
11 00:00:00,2842
11 01:00:00,2523
11 02:00:00,1930
11 03:00:00,2065
11 04:00:00,1969
11 05:00:00,1509
11 06:00:00,1654
11 07:00:00,1406
11 08:00:00,1873
11 09:00:00,2211
11 10:00:00,3010
11 11:00:00,2614
11 12:00:00,2603
11 13:00:00,2287
11 14:00:00,2291
11 15:00:00,2390
11 16:00:00,2167
11 17:00:00,2403
11 18:00:00,2574
11 19:00:00,2730
11 20:00:00,2216
11 21:00:00,2317
11 22:00:00,2232
11 23:00:00,2205
12 00:00:00,2176
12 01:00:00,1676
12 02:00:00,1490
12 03:00:00,1178
12 04:00:00,1315
12 05:00:00,877
12 06:00:00,1390
12 07:00:00,1315
12 08:00:00,1496
12 09:00:00,2642
12 10:00:00,3913
12 11:00:00,3994
12 12:00:00,3574
12 13:00:00,3392
12 14:00:00,3292
12 15:00:00,2812
12 16:00:00,2989
12 17:00:00,2585
12 18:00:00,2999
12 19:00:00,3479
12 20:00:00,3774
12 21:00:00,3364
12 22:00:00,3012
12 23:00:00,2686
13 00:00:00,2428
13 01:00:00,2085
13 02:00:00,1577
13 03:00:00,1619
13 04:00:00,1314
13 05:00:00,1111
13 06:00:00,1307
13 07:00:00,1510
13 08:00:00,1700
13 09:00:00,1772
13 10:00:00,2395
13 11:00:00,4088
13 12:00:00,2909
13 13:00:00,2502
13 14:00:00,2465
13 15:00:00,2602
13 16:00:00,2501
13 17:00:00,2386
13 18:00:00,2582
13 19:00:00,2377
13 20:00:00,2791
13 21:00:00,2203
13 22:00:00,2308
13 23:00:00,1742
14 00:00:00,2110
14 01:00:00,2019
14 02:00:00,1492
14 03:00:00,1305
14 04:00:00,1002
14 05:00:00,1018
14 06:00:00,1225
14 07:00:00,887
14 08:00:00,1119
14 09:00:00,1478
14 10:00:00,1587
14 11:00:00,1560
14 12:00:00,1167
14 13:00:00,1099
14 14:00:00,1393
14 15:00:00,1609
14 16:00:00,1812
14 17:00:00,1284
14 18:00:00,1725
14 19:00:00,1493
14 20:00:00,1852
14 21:00:00,1480
14 22:00:00,1999
14 23:00:00,1503
15 00:00:00,1513
15 01:00:00,1265
15 02:00:00,1424
15 03:00:00,991
15 04:00:00,761
15 05:00:00,919
15 06:00:00,911
15 07:00:00,883
15 08:00:00,933
15 09:00:00,1568
15 10:00:00,1758
15 11:00:00,1849
15 12:00:00,1678
15 13:00:00,1808
15 14:00:00,1390
15 15:00:00,1502
15 16:00:00,1299
15 17:00:00,1492
15 18:00:00,1833
15 19:00:00,1774
15 20:00:00,2049
15 21:00:00,1679
15 22:00:00,1696
15 23:00:00,1505
16 00:00:00,1732
16 01:00:00,1422
16 02:00:00,1285
16 03:00:00,1500
16 04:00:00,1222
16 05:00:00,1222
16 06:00:00,1321
16 07:00:00,1425
16 08:00:00,1287
16 09:00:00,1584
16 10:00:00,2571
16 11:00:00,2117
16 12:00:00,2603
16 13:00:00,2405
16 14:00:00,2617
16 15:00:00,2241
16 16:00:00,2411
16 17:00:00,2625
16 18:00:00,2282
16 19:00:00,2931
16 20:00:00,3074
16 21:00:00,2719
16 22:00:00,2693
16 23:00:00,2610
17 00:00:00,2272
17 01:00:00,2098
17 02:00:00,1898
17 03:00:00,1623
17 04:00:00,1058
17 05:00:00,1096
17 06:00:00,1478
17 07:00:00,1217
17 08:00:00,1221
17 09:00:00,1860
17 10:00:00,3127
17 11:00:00,4229
17 12:00:00,3669
17 13:00:00,2997
17 14:00:00,3341
17 15:00:00,2824
17 16:00:00,2916
17 17:00:00,2784
17 18:00:00,2790
17 19:00:00,3107
17 20:00:00,2789
17 21:00:00,2610
17 22:00:00,2582
17 23:00:00,2667
18 00:00:00,2413
18 01:00:00,2308
18 02:00:00,1973
18 03:00:00,1893
18 04:00:00,1969
18 05:00:00,1574
18 06:00:00,1948
18 07:00:00,1588
18 08:00:00,1682
18 09:00:00,1903
18 10:00:00,3017
18 11:00:00,4400
18 12:00:00,3520
18 13:00:00,3365
18 14:00:00,3146
18 15:00:00,3102
18 16:00:00,2834
18 17:00:00,3393
18 18:00:00,3742
18 19:00:00,3743
18 20:00:00,3391
18 21:00:00,3100
18 22:00:00,2919
18 23:00:00,2781
19 00:00:00,3222
19 01:00:00,2248
19 02:00:00,2048
19 03:00:00,1643
19 04:00:00,1792
19 05:00:00,1690
19 06:00:00,1566
19 07:00:00,1734
19 08:00:00,1816
19 09:00:00,2509
19 10:00:00,3114
19 11:00:00,3175
19 12:00:00,3082
19 13:00:00,2909
19 14:00:00,3101
19 15:00:00,3096
19 16:00:00,3019
19 17:00:00,2825
19 18:00:00,2929
19 19:00:00,3621
19 20:00:00,2919
19 21:00:00,2792
19 22:00:00,3026
19 23:00:00,2928
20 00:00:00,2406
20 01:00:00,1990
20 02:00:00,1488
20 03:00:00,1382
20 04:00:00,1321
20 05:00:00,821
20 06:00:00,1222
20 07:00:00,1385
20 08:00:00,1521
20 09:00:00,1985
20 10:00:00,2573
20 11:00:00,2580
20 12:00:00,2617
20 13:00:00,2083
20 14:00:00,2622
20 15:00:00,2905
20 16:00:00,2040
20 17:00:00,2169
20 18:00:00,2550
20 19:00:00,2662
20 20:00:00,2617
20 21:00:00,2345
20 22:00:00,2544
20 23:00:00,2123
21 00:00:00,1726
21 01:00:00,1622
21 02:00:00,1521
21 03:00:00,1496
21 04:00:00,1502
21 05:00:00,792
21 06:00:00,1216
21 07:00:00,1295
21 08:00:00,1201
21 09:00:00,1592
21 10:00:00,1822
21 11:00:00,1708
21 12:00:00,1811
21 13:00:00,1523
21 14:00:00,2116
21 15:00:00,1781
21 16:00:00,1682
21 17:00:00,1682
21 18:00:00,1909
21 19:00:00,2157
21 20:00:00,1784
21 21:00:00,1676
21 22:00:00,2197
21 23:00:00,1726
22 00:00:00,1497
22 01:00:00,1509
22 02:00:00,1140
22 03:00:00,1173
22 04:00:00,1117
22 05:00:00,758
22 06:00:00,1071
22 07:00:00,878
22 08:00:00,801
22 09:00:00,1518
22 10:00:00,1845
22 11:00:00,1790
22 12:00:00,2031
22 13:00:00,2030
22 14:00:00,2018
22 15:00:00,1513
22 16:00:00,1648
22 17:00:00,1604
22 18:00:00,2099
22 19:00:00,2717
22 20:00:00,2599
22 21:00:00,2371
22 22:00:00,1955
22 23:00:00,2037
23 00:00:00,2136
23 01:00:00,1402
23 02:00:00,1584
23 03:00:00,1408
23 04:00:00,1108
23 05:00:00,1096
23 06:00:00,901
23 07:00:00,1196
23 08:00:00,1608
23 09:00:00,2562
23 10:00:00,3305
